10	10
28	13
50	12
59	4
81	8
97	8
115	11
141	14
155	11
173	6
199	3
212	5
228	7
252	8
271	9
284	9
304	7
319	14
342	11
356	6
375	13
396	6
420	4
436	5
459	14
476	9
488	4
510	4
527	8
547	6
562	9
584	9
597	13
618	12
642	4
654	3
672	4
698	7
716	12
731	8
753	4
768	12
788	6
801	6
822	7
840	11
862	6
880	9
899	10
921	9
938	4
949	9
969	14
994	12
5	32
28	31
49	22
67	27
77	27
98	26
122	32
142	22
159	23
175	22
197	29
209	25
231	24
247	26
270	25
292	28
304	31
319	24
338	27
360	25
383	24
399	22
415	24
434	33
456	30
469	33
488	24
505	23
529	32
546	26
561	26
586	27
600	27
620	25
643	27
662	25
677	27
698	25
714	30
735	32
744	28
768	28
784	30
806	30
819	25
845	24
863	30
885	22
895	26
920	23
934	22
956	32
977	26
991	30
7	41
25	45
46	49
63	51
87	47
97	41
123	47
138	43
158	48
178	43
192	47
212	45
227	46
245	50
271	41
289	42
301	46
329	46
347	47
358	51
381	49
398	45
411	42
432	42
453	42
475	41
485	48
511	51
533	50
548	49
568	48
586	44
599	49
620	47
636	43
660	49
681	47
699	51
717	50
731	43
750	50
769	50
785	49
805	40
826	42
844	41
859	42
884	47
899	44
920	49
937	45
958	51
969	48
993	43
3	60
32	68
43	67
60	67
85	69
101	59
115	62
139	62
153	61
173	66
189	63
210	66
230	61
246	59
274	65
286	69
303	59
320	63
338	69
365	69
379	65
400	70
414	65
433	65
453	64
471	67
485	66
504	62
528	63
544	68
565	61
588	65
602	67
615	63
634	67
652	65
678	62
699	66
717	59
735	66
752	68
764	67
786	62
800	68
822	69
840	68
861	62
874	66
892	69
911	70
935	69
952	66
973	69
995	61
7	81
27	77
51	88
64	82
82	86
98	85
118	85
137	78
155	80
178	86
195	78
207	88
232	88
248	87
267	78
288	80
310	81
324	85
340	81
359	82
376	79
398	80
419	81
436	81
451	82
473	78
490	87
512	87
533	82
544	83
560	78
581	81
597	80
623	87
639	84
662	78
675	87
698	84
712	81
728	85
747	80
772	88
788	81
809	85
828	78
840	79
856	86
874	80
903	87
913	81
936	87
957	88
967	80
990	85
3	105
32	101
44	99
68	97
83	97
102	106
115	100
141	103
159	100
179	97
194	98
211	96
231	97
250	100
264	99
284	103
302	106
319	107
339	101
361	97
378	106
396	107
419	96
438	106
451	107
472	102
494	107
507	99
523	107
549	105
565	107
588	101
603	105
615	103
639	97
653	98
677	103
697	106
715	102
730	99
750	102
763	102
783	102
800	99
825	107
841	97
859	100
878	102
903	106
914	101
938	96
953	103
971	96
988	105
9	125
25	123
45	123
63	117
83	125
104	119
121	119
138	115
160	119
173	123
194	115
214	123
236	117
252	118
264	124
283	125
310	117
323	116
345	124
366	122
375	115
397	119
419	120
434	125
450	122
469	114
491	122
508	117
523	123
549	115
564	115
586	120
599	120
619	119
640	120
659	120
679	116
699	117
711	115
731	115
754	115
770	125
789	116
808	120
825	123
845	122
865	122
880	124
899	121
914	125
935	118
948	124
970	122
994	116
6	137
26	137
46	134
61	141
87	139
104	140
122	142
142	140
160	133
172	143
195	143
211	137
234	137
249	135
273	133
290	144
306	140
324	137
339	136
357	140
381	135
400	134
413	144
436	138
448	143
476	133
495	137
511	143
533	142
544	133
561	137
584	134
605	143
617	134
635	137
660	139
678	134
691	133
714	139
727	137
751	136
773	139
782	143
808	137
825	140
840	140
859	135
884	142
898	139
912	142
932	135
956	136
969	138
992	142
11	161
24	154
51	158
67	162
79	158
105	159
118	157
141	157
154	157
178	157
189	162
207	159
228	160
244	162
272	155
287	156
308	154
318	161
341	156
358	159
374	156
396	155
422	160
438	159
454	160
469	154
486	160
512	159
524	162
544	156
569	151
586	156
597	159
623	158
638	157
652	155
673	158
698	155
711	159
735	154
745	158
771	155
784	159
800	160
818	152
839	152
859	152
879	154
898	159
918	158
939	155
950	156
967	154
990	158
12	179
29	171
47	181
69	177
84	177
101	171
121	173
138	178
152	175
172	171
198	181
209	172
231	177
252	175
263	178
287	176
303	177
321	172
341	180
360	173
378	178
393	179
412	175
438	174
458	172
468	178
490	170
503	176
532	176
545	181
569	171
584	172
602	170
625	180
638	174
652	175
677	179
695	175
709	170
731	178
752	172
771	176
785	173
801	176
820	179
837	177
864	174
882	174
894	172
921	170
933	173
955	174
974	175
989	173
13	199
26	199
45	191
63	192
82	193
103	192
122	188
134	191
157	197
170	196
197	191
216	193
234	190
253	191
272	192
288	192
301	189
328	191
339	191
366	197
374	194
400	193
415	198
436	198
451	190
477	198
488	188
505	190
523	194
545	192
564	191
583	189
604	190
624	195
637	193
657	198
678	196
691	194
715	192
733	199
751	199
763	195
784	199
808	195
819	199
838	193
860	199
874	197
902	189
912	195
930	198
957	190
970	192
988	192
14	216
31	216
47	209
65	212
88	217
105	213
123	209
137	217
160	217
173	213
194	217
212	209
234	208
254	216
271	212
288	215
303	218
318	218
343	209
359	217
376	217
393	208
419	211
430	207
456	209
472	217
486	216
506	211
526	216
545	215
566	215
579	208
606	209
624	217
642	216
655	209
672	217
697	210
708	212
729	208
753	215
771	215
783	216
809	216
826	217
846	210
860	217
877	214
902	208
915	216
931	217
951	210
972	213
991	214
10	234
30	235
45	228
69	233
81	236
97	229
114	227
134	236
156	232
175	231
199	231
213	233
233	228
251	230
266	231
284	227
302	231
321	226
343	235
360	232
381	233
400	230
419	232
439	229
450	227
468	234
486	226
512	226
526	236
546	231
559	236
584	230
596	228
624	232
641	236
652	228
670	234
698	234
717	232
730	236
750	230
766	231
792	232
803	228
821	227
842	229
855	226
881	231
901	228
917	231
934	228
952	236
974	226
986	230
6	248
22	247
41	249
64	246
79	250
98	255
117	253
140	253
159	249
178	255
190	250
215	250
229	248
255	247
263	250
291	247
301	251
328	255
339	244
356	245
374	254
394	245
414	254
440	253
451	251
470	255
492	252
506	250
528	252
541	251
561	253
583	254
596	253
622	250
643	247
654	251
680	251
694	254
711	244
726	253
747	250
765	248
792	245
811	246
826	250
842	246
866	250
881	247
898	245
920	247
931	252
956	252
975	252
994	252
4	271
25	265
47	270
64	268
85	272
105	267
121	272
138	263
153	270
177	270
191	270
212	267
236	264
249	266
269	269
284	268
304	265
324	265
347	269
366	271
382	268
396	272
416	264
431	273
450	263
472	263
486	263
509	264
530	269
548	264
560	265
580	273
597	265
620	270
638	266
660	273
678	267
698	264
708	267
733	266
746	263
766	267
791	268
801	265
826	265
846	273
855	271
878	271
898	272
911	264
934	271
954	271
970	266
989	264
6	292
27	283
46	285
59	289
84	289
99	289
120	291
140	284
152	287
174	292
197	291
216	281
229	291
250	290
272	286
283	292
309	289
329	282
342	287
358	287
382	284
395	288
420	290
432	282
449	283
469	281
493	285
506	286
525	284
541	287
561	289
587	288
602	288
615	287
636	286
652	282
678	287
691	282
715	282
726	281
750	283
765	285
789	290
810	291
828	285
839	289
860	291
875	287
900	283
914	288
930	285
958	291
977	282
991	289
6	307
27	301
46	303
60	309
81	309
106	301
120	307
139	307
161	305
171	302
199	301
211	300
234	301
245	308
266	307
291	301
303	310
319	302
339	308
359	310
379	306
401	303
418	307
438	307
451	303
469	305
492	307
512	304
530	302
547	304
567	308
582	304
599	301
618	310
640	303
654	308
679	310
696	305
710	306
730	307
755	301
766	308
791	309
803	301
823	309
837	309
859	309
883	306
902	300
915	307
933	308
956	305
969	306
994	303
11	319
33	320
51	319
67	323
78	329
98	325
122	319
142	323
159	326
176	322
196	321
215	326
229	325
253	326
263	324
288	326
303	325
320	321
